,price,area_tot,area_build,lon,lat
91823,165470.0,0.0,42.0,6.033593,46.309494
91856,445000.0,476.0,100.0,6.038157,46.308846
91919,353720.0,473.0,100.0,6.042754,46.310278000000004
91973,575000.0,977.0,158.0,6.04504,46.308941
91994,243250.0,0.0,0.0,6.037623,46.310143
92019,361000.0,0.0,0.0,6.037623,46.310143
92044,360500.0,0.0,0.0,6.037623,46.310143
92069,315000.0,0.0,0.0,6.037623,46.310143
92094,290000.0,0.0,0.0,6.037623,46.310143
92119,320000.0,0.0,0.0,6.037623,46.310143
92144,300000.0,0.0,81.0,6.037623,46.310143
92171,672500.0,0.0,104.0,6.039214,46.310454
92181,335900.0,0.0,0.0,6.0680819999999995,46.337998999999996
92192,228600.0,0.0,0.0,6.0680819999999995,46.337998999999996
92203,262800.0,0.0,0.0,6.0680819999999995,46.337998999999996
92214,327100.0,0.0,56.0,6.0680819999999995,46.337998999999996
92225,271000.0,0.0,0.0,6.0680819999999995,46.337998999999996
92236,238800.0,0.0,0.0,6.0680819999999995,46.337998999999996
92247,270800.0,0.0,0.0,6.0680819999999995,46.337998999999996
92258,274400.0,0.0,0.0,6.0680819999999995,46.337998999999996
92269,317000.0,0.0,0.0,6.0680819999999995,46.337998999999996
92280,314900.0,0.0,0.0,6.0680819999999995,46.337998999999996
92291,206100.0,0.0,30.0,6.0680819999999995,46.337998999999996
92302,261800.0,0.0,0.0,6.0680819999999995,46.337998999999996
92313,253100.0,0.0,0.0,6.0680819999999995,46.337998999999996
92324,249000.0,0.0,0.0,6.0680819999999995,46.337998999999996
92335,314900.0,0.0,0.0,6.0680819999999995,46.337998999999996
92346,320000.0,0.0,0.0,6.0680819999999995,46.337998999999996
92357,540000.0,1279.0,0.0,6.0680819999999995,46.337998999999996
92368,1558213.8,0.0,79.0,6.0680819999999995,46.337998999999996
92379,234600.0,0.0,0.0,6.0680819999999995,46.337998999999996
92390,309900.0,0.0,0.0,6.0680819999999995,46.337998999999996
92401,248100.0,0.0,0.0,6.0680819999999995,46.337998999999996
92412,303000.0,0.0,0.0,6.0680819999999995,46.337998999999996
92423,264200.0,0.0,0.0,6.0680819999999995,46.337998999999996
92434,247200.0,0.0,40.0,6.0680819999999995,46.337998999999996
92445,268600.0,0.0,0.0,6.0680819999999995,46.337998999999996
92456,240600.0,0.0,0.0,6.0680819999999995,46.337998999999996
92467,246000.0,0.0,0.0,6.0680819999999995,46.337998999999996
92478,256100.0,0.0,0.0,6.0680819999999995,46.337998999999996
92489,249000.0,0.0,0.0,6.0680819999999995,46.337998999999996
92500,312900.0,0.0,0.0,6.0680819999999995,46.337998999999996
92511,309900.0,0.0,66.0,6.0680819999999995,46.337998999999996
92522,315000.0,0.0,83.0,6.0680819999999995,46.337998999999996
92533,203100.0,0.0,0.0,6.0680819999999995,46.337998999999996
92544,304800.0,0.0,0.0,6.0680819999999995,46.337998999999996
92555,242300.0,0.0,0.0,6.0680819999999995,46.337998999999996
92566,341400.0,0.0,66.0,6.0680819999999995,46.337998999999996
92577,233700.0,0.0,0.0,6.0680819999999995,46.337998999999996
92588,226300.0,0.0,40.0,6.0680819999999995,46.337998999999996
92599,261900.0,0.0,0.0,6.0680819999999995,46.337998999999996
92610,217400.0,0.0,0.0,6.0680819999999995,46.337998999999996
92621,248899.0,0.0,0.0,6.0680819999999995,46.337998999999996
92632,239800.0,0.0,0.0,6.0680819999999995,46.337998999999996
92643,275300.0,0.0,0.0,6.0680819999999995,46.337998999999996
92654,320000.0,0.0,0.0,6.0680819999999995,46.337998999999996
92665,259200.0,0.0,0.0,6.0680819999999995,46.337998999999996
92676,326000.0,0.0,0.0,6.0680819999999995,46.337998999999996
92687,362900.0,0.0,0.0,6.0680819999999995,46.337998999999996
92698,223500.0,0.0,0.0,6.0680819999999995,46.337998999999996
92709,228600.0,0.0,0.0,6.0680819999999995,46.337998999999996
92720,243500.0,0.0,0.0,6.0680819999999995,46.337998999999996
92731,209200.0,0.0,0.0,6.0680819999999995,46.337998999999996
92742,234600.0,0.0,0.0,6.0680819999999995,46.337998999999996
92753,305000.0,0.0,0.0,6.0680819999999995,46.337998999999996
92764,234600.0,0.0,0.0,6.0680819999999995,46.337998999999996
92775,222500.0,0.0,0.0,6.0680819999999995,46.337998999999996
92786,307800.0,0.0,0.0,6.0680819999999995,46.337998999999996
92797,565000.0,550.0,0.0,6.077486,46.339506
92798,660000.0,153.0,0.0,6.060231,46.347128000000005
92806,750000.0,131.0,0.0,6.054515,46.328203
92832,423050.0,33.0,0.0,6.044982,46.352143
92883,727700.0,43.0,0.0,6.060215,46.334202000000005
92932,100000.0,0.0,26.0,6.060215,46.334202000000005
92981,374970.0,92.0,0.0,6.060215,46.334202000000005
93030,383350.0,113.0,0.0,6.060215,46.334202000000005
93079,578550.0,363.0,0.0,6.060215,46.334202000000005
93128,160000.0,459.0,0.0,6.060215,46.334202000000005
93569,27597.6,30664.0,0.0,6.074768,46.328047999999995
93570,7373992.0,14367.0,0.0,6.07561,46.335207000000004
93571,420000.0,0.0,88.0,6.06047,46.333953
93572,5000.0,0.0,115.0,6.06047,46.333953
93573,346000.0,0.0,0.0,6.06047,46.333953
93574,397000.0,0.0,0.0,6.06047,46.333953
93575,335000.0,0.0,71.0,6.06047,46.333953
93576,320000.0,356.0,0.0,6.06047,46.333953
93577,325283.2,0.0,0.0,6.06047,46.333953
93578,430000.0,0.0,0.0,6.06047,46.333953
93579,521000.0,316.0,0.0,6.06047,46.333953
93580,380000.0,0.0,0.0,6.06047,46.333953
93581,362800.0,569.0,0.0,6.06047,46.333953
93582,7535000.0,30501.0,0.0,6.056508999999999,46.332396
93587,662820.0,512.0,0.0,6.062183999999999,46.343342
93609,620000.0,28.0,0.0,6.088315000000001,46.32383
93610,343000.0,780.0,0.0,6.088315000000001,46.32383
93611,382000.0,1031.0,0.0,6.088315000000001,46.32383
93612,689400.0,28.0,0.0,6.088315000000001,46.32383
93613,794400.0,576.0,0.0,6.088315000000001,46.32383
93614,0.0,1087.0,0.0,6.088315000000001,46.32383
93615,100100.0,218.0,0.0,6.088315000000001,46.32383
93616,140000.0,265.0,0.0,6.088315000000001,46.32383
93617,210000.0,12.0,0.0,6.0548589999999995,46.341738
93626,400.0,26.0,0.0,6.0548589999999995,46.341738
93635,300.0,17.0,0.0,6.0548589999999995,46.341738
93644,320000.0,12.0,0.0,6.0548589999999995,46.341738
93653,300.0,17.0,0.0,6.0548589999999995,46.341738
93662,1000.0,65.0,0.0,6.0548589999999995,46.341738
93671,200.0,13.0,0.0,6.0548589999999995,46.341738
93680,800.0,52.0,0.0,6.0548589999999995,46.341738
93689,310000.0,857.0,0.0,6.0548589999999995,46.341738
93698,1.0,1277.0,0.0,6.061008,46.340606
93709,430000.0,1272.0,0.0,6.0906139999999995,46.328501
93719,771800.0,700.0,0.0,6.0906139999999995,46.328501
93739,152250.0,1015.0,0.0,6.056655999999999,46.322173
93744,425000.0,54.0,0.0,6.056655999999999,46.322173
93749,229000.0,0.0,0.0,6.064796,46.332069
93760,190000.0,0.0,0.0,6.064796,46.332069
93771,199000.0,0.0,0.0,6.064796,46.332069
93782,166000.0,0.0,0.0,6.064796,46.332069
93793,162000.0,0.0,0.0,6.064796,46.332069
93804,215350.0,0.0,0.0,6.064796,46.332069
93815,105000.0,0.0,0.0,6.064796,46.332069
93826,219900.0,0.0,0.0,6.064796,46.332069
93837,170000.0,0.0,0.0,6.064796,46.332069
93848,205000.0,0.0,0.0,6.064796,46.332069
93859,173000.0,0.0,0.0,6.064796,46.332069
93870,230000.0,0.0,0.0,6.064796,46.332069
93881,210000.0,0.0,0.0,6.064796,46.332069
93892,128000.0,0.0,0.0,6.064796,46.332069
93903,223000.0,0.0,0.0,6.064796,46.332069
93914,151500.0,0.0,0.0,6.064796,46.332069
93925,160000.0,0.0,0.0,6.064796,46.332069
93936,200000.0,0.0,0.0,6.064796,46.332069
93947,202000.0,0.0,0.0,6.064796,46.332069
93958,208000.0,0.0,0.0,6.064796,46.332069
93969,240000.0,0.0,0.0,6.064796,46.332069
93980,209000.0,0.0,0.0,6.064796,46.332069
93991,148000.0,0.0,0.0,6.064796,46.332069
94002,140000.0,0.0,0.0,6.064796,46.332069
94013,225000.0,0.0,0.0,6.064796,46.332069
94024,207000.0,0.0,0.0,6.064796,46.332069
94035,150000.0,0.0,0.0,6.064796,46.332069
94046,120000.0,0.0,0.0,6.064796,46.332069
94057,150000.0,0.0,0.0,6.064796,46.332069
94069,230000.0,0.0,54.0,6.064833,46.332684
94080,151500.0,0.0,34.0,6.064833,46.332684
94092,199000.0,0.0,55.0,6.064732,46.332754
94103,166000.0,0.0,42.0,6.064732,46.332754
94114,150000.0,0.0,42.0,6.064732,46.332754
94126,215350.0,0.0,61.0,6.06463,46.332795000000004
94137,223000.0,0.0,54.0,6.06463,46.332795000000004
94148,148000.0,0.0,42.0,6.06463,46.332795000000004
94159,225000.0,0.0,55.0,6.06463,46.332795000000004
94171,105000.0,0.0,34.0,6.06464,46.332884
94182,219900.0,0.0,55.0,6.06464,46.332884
94193,173000.0,0.0,42.0,6.06464,46.332884
94204,210000.0,0.0,61.0,6.06464,46.332884
94215,128000.0,0.0,34.0,6.06464,46.332884
94226,209000.0,0.0,61.0,6.06464,46.332884
94238,170000.0,0.0,42.0,6.064511,46.332887
94249,205000.0,0.0,54.0,6.064511,46.332887
94260,160000.0,0.0,34.0,6.064511,46.332887
94271,200000.0,0.0,61.0,6.064511,46.332887
94282,240000.0,0.0,61.0,6.064511,46.332887
94293,207000.0,0.0,61.0,6.064511,46.332887
94305,229000.0,0.0,53.0,6.064544000000001,46.332977
94316,140000.0,0.0,34.0,6.064544000000001,46.332977
94327,120000.0,0.0,39.0,6.064544000000001,46.332977
94339,208000.0,0.0,52.0,6.064437,46.332928
94350,120000.0,0.0,39.0,6.064437,46.332928
94361,150000.0,0.0,42.0,6.064437,46.332928
94373,190000.0,0.0,34.0,6.064442,46.333014
94384,162000.0,0.0,42.0,6.064442,46.333014
94395,202000.0,0.0,55.0,6.064442,46.333014
94407,84100.0,0.0,23.0,6.064382,46.331913
94418,84100.0,0.0,24.0,6.064382,46.331913
94429,96700.0,0.0,24.0,6.064382,46.331913
94440,96100.0,0.0,20.0,6.064382,46.331913
94464,900000.0,800.0,0.0,6.05811,46.332224
94487,900000.0,56.0,0.0,6.05811,46.332224
94496,900000.0,2188.0,397.0,6.0583160000000005,46.331944
94521,557310.0,741.0,106.0,6.062056,46.332607
94554,185000.0,0.0,48.0,6.061186,46.332722
